Concat,Provider,Service,Ithrive,Description,Referral Process,Weblinks,Available for,Support Category,Age range,School Service,Referrer,Source,Reviewed?
Behavioural outreach services: Rivermead,Behavioural outreach services,Rivermead,"Getting Help
(goals based)","ROCC (Rivermead Outreach Community Challenge)- Offering respite to families in Medway in school holidays and on occasional weekends. Tripple R- Rivermead Routes for Reintegration (Triple R) is the Medway Hospital PRU provision, forming the extension of Rivermead School. It is for learners with mental health needs who are either a post in-patient from a clinical provision and are receiving ongoing treatment from a psychiatrist or are currently on the CAMHS out-patient psychiatric, clinical caseload for secondary school age pupils.  The Medway Hospital school home tuition service is based at Triple R. This service is for primary and secondary aged learners across Medway who are medically illunfit to attend their home school. Triple R has three aspects: Dual Roll, Reintegration Programme and the LA Home Tuition Service (For more information on these aspects, please see the Triple R Aspects page)","Referrals for Tripple R: Enquires can be made between Monday to Friday, 8.30am � 4pm:Telephone: 01634 961080 (answerphone available for out of hours)
or Email: tripler@rivermeadinclusivetrust.org
for ROCC email: ROCC@rivermeadinclusivetrust.org
link included for Rivermead, click onto relevant pages for more information",http://www.rivermead.org.uk,Schools,Behaviour,All ages,Y,Self Referral,offered by Medway school,y-Diane
Better Health: Every mind matters,Better Health,Every mind matters,Advice & Signposting,online information and guidance to promote individuals to have good mental health and wellbeing,,https://www.nhs.uk/oneyou/every-mind-matters,All,Wellbeing,All ages,N,No referral required,NHS,y-Diane
Beyond Now: Suicide safety plan,Beyond Now,Suicide safety plan,Advice & Signposting,"Sometimes life can be overwhelming, and suicide may seem like the only way to relieve the pain. Beyond Now is an app created by Beyond Blue to support people through these feelings.","No referral process, download app on website",https://www.beyondblue.org.au/get-support/beyondnow-suicide-safety-planning,All,Suicide support and suicide bereavement,All ages,N,No referral required,ch team SH PowerPoint,y-Diane
British Red Cross: Young Refugee Project Kent ,British Red Cross,Young Refugee Project Kent ,"Getting Help
(goals based)","Works with asylum seekers and refugees aged 15-25 through a series of workshops ranging from holistic wellbeing, life skill development and building community",Contact tigony.phillips@redcross.org.uk,https://www.redcross.org.uk/get-help/get-help-as-a-young-refugee-or-asylum-seeker/,Refugees & asylum seekers,Cultural Identity & Migration Support,Post 16,N,Professional referral,commissioned by Sarah Richards,y-Diane
Brook: Confidential sexual health & wellbeing guide,Brook,Confidential sexual health & wellbeing guide,Advice & Signposting,"Free  confidential sexual health  wellbeing guide for under 25's, including additional information and resources for professionals to equip you with everything you need to provide exceptional relationships and sex education and wellbeing support to young people  from planning to policy to delivery.",,https://www.brook.org.uk/,under 25's,Wellbeing; Health,All ages,N,No referral required,Medway Care leavers services and information guide,y-Diane
Care Leavers: Ask Jan,Care Leavers,Ask Jan,advice & signposting,"Ask Jan gives care leavers access to services, including same-day support from qualified counsellors via a 24-hour telephone counselling service and the opportunity to use a network of UK-wide counsellors for face-to-face counselling within five days of requesting an appointment. The Membership Package includes:
	247 Counselling Helpline
	Face to Face Counselling
	Cognitive Behavioural Therapy
	Financial Advice  pensions, life cover, mortgages
	Housing Advice
	Advice on Legal Matters
	Debt Management
	Wellbeing Advice
	Discounts and Special Offers on Days Out and Attractions",Speak to your personal advisor,,Medway Care leavers,"Social Care; Trauma/Victim support; Behaviour; Homelessness, finance, employment; Anxiety/Depression/Low mood; Wellbeing",Post 16,N,Self/Professional referral,Commissioned,y-Diane
Care Leavers: Local offer for care leavers,Care Leavers,Local offer for care leavers,Advice & Signposting,"We have developed a Local Offer for care leavers to help you find the services and support we offer. These services can help you manage the journey into early adulthood and independent living.

Our leaving care team will help you get housing, education, training, work experience and health services. We'll also provide advice and encouragement to help you make the most of your journey through the care system.

Read more about the Local Offer for care leavers.

Find out how your personal advisor can support you.",https://www.medway.gov.uk/info/200260/local_offer_for_care_leavers,https://www.medway.gov.uk/info/200260/local_offer_for_care_leavers/,Medway Care leavers,"Social Care; Trauma/Victim support; Behaviour; Homelessness, finance, employment; Anxiety/Depression/Low mood; Wellbeing",Post 16,N,Self Referral,Internal Service,y-Diane
Citizens Advice: Money & Mental Health Advice Service ,Citizens Advice,Money & Mental Health Advice Service ,"Getting Help
(goals based)","To help those with both money and mental health issues by providing enhanced and unique offers. Citizens Advice have a dedicated team ready to help people. A specialist trained advisor will provide a unique and enhanced offer which will cover; benefits, work, debt, consumer, family, finance, housing and financial training.",email referral@nwkent.cab.org.uk,https://citizensadvicenwk.org.uk/projects/money-and-mental-health/,All,"Homelessness, finance, employment",All ages,N,Self Referral,Commissioned Sara Moreland,y-Diane
Cruse Bereavement: Bereavement service,Cruse Bereavement,Bereavement service,Advice & Signposting,Our office is staffed by volunteers who aim to  provide telephone support and advice 10am to 12.30pm Monday to Friday and answer email enquiries promptly.,Contact on 01622 671011 or email maidstone@cruse.org.uk,https://www.cruse.org.uk/,All,Bereavement,All ages,N,Self Referral,DFE/Recommended by DfE,y-Diane
Educational Psychologist: School Educational Psychologist,Educational Psychologist,School Educational Psychologist,"Getting Help
(goals based)","Support the learning, social, emotional and behavioural developments and mental health needs of  young people and have specialist skills in areas such as autism, hearing and visual impairment, speech and language and behaviour Each educational setting has a linked EP and receives a core allocation of time without charge. Additional time can be purchased to supplement this inline with he schools priorities and to improve preventative and targeted work. EP's draw on a range of approaches e.g. personal construct psychology, CBT, Solutions focussed therapy, video interactive guidance, motivational interviewing, narrative therapy, they can provide systemic interventions at school, family, community and local authority level to support change and development.",email education.psychology@medway.gov.uk or call 01634 335647,https://www.medway.gov.uk/info/200137/schools_and_learning/352/educational_psychology_service_eps,Selected schools,Behaviour; Bullying; Trauma/Victim support; Anxiety/Depression/Low mood; Bereavement; Special Educational Needs and Disability/ Autism/ADHD,All ages,Y,Professional referral,Internal Service,y-Diane
Educational Psychologist: Support following a sad event,Educational Psychologist,Support following a sad event,"Getting Help
(goals based)",The team are also able to offer support to schools and communities following a sad event such as the death of a pupilteacher,email education.psychology@medway.gov.uk or call 01634 335647,https://www.medway.gov.uk/info/200137/schools_and_learning/352/educational_psychology_service_eps,Schools,Trauma/Victim support; Anxiety/Depression/Low mood; Bereavement,All ages,Y,Professional referral,Internal Service,y-Diane
Emotional Support Team: 1:1 services - Primary parents,Emotional Support Team,1:1 services - Primary parents,"Getting Help
(goals based)","Low to moderate support around Mental Health and Wellbeing. Anxiety and understanding behaviour. Evidence based CBT informed and services based on frequency, needs and evidence base to compliment and expand on existing programmes in the school. Clinical supervision is provided to MHST practitioners by a qualified supervisor (BCAB or relevant experience)",Self referral with support of the school to the link person,https://www.nelft.nhs.uk/medway-emotional-support-team,Selected schools,Behaviour; Anxiety/Depression/Low mood; Bullying,All ages,Y,Self Referral,Commissioned,y-Diane
Emotional Support Team: 1:1 services - Primary students,Emotional Support Team,1:1 services - Primary students,"Getting Help
(goals based)","Low to moderate support around Mental Health and Wellbeing. This includes behavioural difficulties, low mood, worry management, anxietyavoidance e.g. simple phobias, separation anxiety, panic management, and supporting with alternative coping strategies, sleep hygiene, thought challenging (negative automatic thoughts) and problem solving. Practitioners may at discretion and under close supervision support around irritability, low confidence, short term phobia work, thoughts of self-harm, superficial self-harm, basic harm reduction techniques). Evidence based CBT informed and interventions based on frequency, needs and evidence base to compliment and expand on existing programmes in the school. Clinical supervision is provided to MHST practitioners by a qualified supervisor (BCAB or relevant experience)",Self referral with support of the school to the link person,https://www.nelft.nhs.uk/medway-emotional-support-team,Selected schools,Behaviour; Anxiety/Depression/Low mood; Bullying,All ages,Y,Self Referral,Commissioned,y-Diane
Emotional Support Team: 1:1 services - Secondary,Emotional Support Team,1:1 services - Secondary,"Getting Help
(goals based)","Low to moderate support around Mental Health and Wellbeing. This includes low mood, worry management, anxietyavoidance e.g. simple phobias, panic management, assessing self harm and supporting with alternative coping strategies, sleep hygiene, thought challenging (negative automatic thoughts) and problem solving. Practitioners may at discretion and under close supervision support around irritability, low confidence, short term phobia work, thoughts of self-harm, superficial self-harm, basic harm reduction techniques, rigid, ritualistic behaviour (maymay not be within an ASD diagnosis). Evidence based CBT informed and  interventions based on frequency, needs and evidence base to compliment and expand on existing programmes in the school. Clinical supervision is provided to MHST practitioners by a qualified supervisor (BCAB or relevant experience)",Self referral with support of the school to the link person,https://www.nelft.nhs.uk/medway-emotional-support-team,Selected schools,Behaviour; Anxiety/Depression/Low mood; Bullying,All ages,Y,Self Referral,Commissioned,y-Diane
Emotional Support Team: Group work CYP - Secondary,Emotional Support Team,Group work CYP - Secondary,"Getting Help
(goals based)","Targeted group work to support with difficulties such as low mood and anxiety. Evidence based CBT informed and  interventions based on frequency, needs and evidence base to compliment and expand on existing programmes in the school. Clinical supervision is provided to MHST practitioners by a qualified supervisor (BCAB or relevant experience)",Self referral with support of the school to the link person,https://www.nelft.nhs.uk/medway-emotional-support-team,Selected schools,Behaviour; Anxiety/Depression/Low mood; Bullying,All ages,Y,Self Referral,Commissioned,y-Diane
Emotional Support Team: Group work parents - Primary,Emotional Support Team,Group work parents - Primary,"Getting Help
(goals based)","Anxiety and understanding behaviour workshops- based on frequency, needs and evidence base to compliment and expand on existing programmes in the school. Clinical supervision is provided to MHST practitioners by a qualified supervisor (BCAB or relevant experience)",Self referral with support of the school to the link person,https://www.nelft.nhs.uk/medway-emotional-support-team,Selected schools,Behaviour; Anxiety/Depression/Low mood; Bullying; Family Support,All ages,Y,Self Referral,Commissioned,y-Diane
Emotional Support Team: Whole School Approach,Emotional Support Team,Whole School Approach,Thriving,Assess and support the school to implement and embed a WSA approach to Mental Health using the 8 principles from PH England. Training teachers to support interventions with children and also support staff. Proactive approach as a foundation for supporting CYP and parents. Clinical supervision is provided to MHST practitioners by a qualified supervisor (BCAB or relevant experience),Request info from Emotional Support team,https://www.nelft.nhs.uk/medway-emotional-support-team,Selected schools,Behaviour; Anxiety/Depression/Low mood; Bullying; Wellbeing,All ages,Y,Self Referral,Commissioned,y-Diane
Family Action: Medway Pregnancy to Three Support service ,Family Action,Medway Pregnancy to Three Support service ,"Getting Help
(goals based)","Support to Medway families where a parent is struggling with their emotional health or well-being during pregnancy and the first 3 years after birth. Our Pregnancy to Three Support Service is for parents who have, or are at risk of developing, mild to moderate mental health issues, including anxiety and post-natal depression",Email: medwaypregnancytothree@family-action.org.uk,https://family-action.org.uk/services/medway-pregnancy-and-early-years-wellbeing-support/,Families,Family Support,All ages,N,Self/Professional referral,Medway commissioned,y-Diane
Family Action: SENDIAS,Family Action,SENDIAS,Advice & Signposting,"Medway SENDIAS provides free and impartial help for parents or carers, children and young people. They can help you to express your views, wishes. They can also help to support you at meetings with schools and the local authority as well as help you to complete special educational needs and disability (SEND) related paperwork. Support is available for young people up to 25. They can also signpost you to other support services that may be able to help you better.",Phone: 01634 566 303 Email: medwaysendias@family-action.org.uk,https://family-action.org.uk/services/medway-sendiass/,All,Special Educational Needs and Disability/ Autism/ADHD; Family Support,All ages,N,Self/Professional referral,Commissioned,y-Diane
Family solutions: Early Help,Family solutions,Early Help,"Getting Help
(goals based)",Medway Family Solutions provides early targeted intervention (Level 2) by working holistically with families with multiple and complex needs to enable them to make changes and improvements to their lives. Can be accessed via Medway Portal (Safeguarding and Support). Family Solutions have workers called Early Help Co-ordinators and Early Help Partner Officers who work closely with Medway Partners who are Lead Practitioners and also offer Early Help Targeted Interventions (i.e. Schools),see weblink below,https://www.medway.gov.uk/info/200170/children_and_families/600/concerned_about_a_child/3,Targeted families,Family Support; Social Care,All ages,N,Self/Professional referral,Internal Service,y-Diane
Family solutions: Parenting Support Service,Family solutions,Parenting Support Service,"Getting Help
(goals based)","The Parenting Support Service deliver a set of evidence-based parenting programmes; Incredible Years aimed at parents of children aged between 511 with some level of conductbehavioural problems.
Triple P Teen aimed at parents of children aged 12-17 who have mild to serious behavioural difficulties.
Triple P ADHD aimed at parents of children aged 5-11 diagnosed with, or awaiting diagnosis of, ADHD.","Fill out the online referral form
for further information call 01634 336236 or email medwayparenting@medway.gov.uk",https://www.medway.gov.uk/info/200170/children_and_families/600/concerned_about_a_child/4#Eligibility%20Criteria,Targeted families,Family Support; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Social Care,All ages,N,Professional referral,Internal Service,y-Diane
HARMless: Self harming resource,HARMless,Self harming resource,Advice & Signposting,HARMless is a resource for those who have contact with young people who are self-harming. It is designed to help you talk about self-harm with a young person so that you can decide what support might be helpful.,,https://harmless.nhs.uk/,All,Self harm,All ages,N,No referral required,NHS,y-Diane
Holding on letting go: Bereavement service,Holding on letting go,Bereavement service,"Getting Help
(goals based)","Holding On Letting Go is a charity that helps young people (ages 6 to 16) to cope with the death of someone close to them. Support is offered to children, young people, parents and carers through bereavement support weekends.

These weekends are free to attend. They are staffed by trained volunteers. Children are encouraged to share their feelings as well as ask questions and learn strategies to help them deal with difficult emotions.",Phone: 03445 611 511 or Email: info@holg.org.uk,https://holdingonlettinggo.org.uk/,Aged 6-16,Bereavement,Primary school age and Secondary School age ,N,Self Referral,recommended by chums and various colleagues,y-Diane
Home Start: Little Adventurers,Home Start,Little Adventurers,Advice & Signposting,We will be using our experience and knowledge to provide the groups with fun and inviting activities that will support your childs learning and development! The programme will run for 6 weeks and will include lots of different themes and home learning activity ideas and resources.,"Children who have scored in the grey and black areas of their ASQ assessment, or if they are below expected level of development according to the Early Years Foundation Stage, will be offered a referral.",https://home-startmedway.org.uk/our-services/little-adventures/,Ages 1-7,Special Educational Needs and Disability/ Autism/ADHD; Health,Under 5's,N,Professional referral,Commissioned,y-Diane
Home Start: Tiny Talkers,Home Start,Tiny Talkers,Advice & Signposting,"Tiny Talkers is a 5 week programme that has been developed to support your childs language development.  The course has been developed by a Speech and Language therapist so as well as some great activities that will be offered during the groups, you will also receive some helpful resources to use at home too!",Children who are identified as needing additional support after their 27 to 30 month developmental review will be offered a referral.,https://home-startmedway.org.uk/tiny-talkers/,Children aged 27-30 months,Special Educational Needs and Disability/ Autism/ADHD; Health,Under 5's,N,Professional referral,Commissioned,y-Diane
Housing: Helping the homeless,Housing,Helping the homeless,Advice & Signposting,Information around services within Medway to help individuals who are homeless or at risk of homelessness,,https://www.medway.gov.uk/info/200151/housing_advice/630/helping_the_homeless/2,All,"Homelessness, finance, employment",All ages,N,No referral required,Internal Service,y-Diane
Ideas test: Disquiet Gillingham,Ideas test,Disquiet Gillingham,Thriving,"DisQuiet is a free weekly club for 11-18 year olds who love music. Allowing individuals to connect with like-minded individuals, collaborate on projects, and push your musical boundaries. Sessions held at Woodlands Youth Centre, Monday evenings 6-8pm",EMAIL: HARLEY@IDEASTEST.CO.UK or TEXT OR CALL: 07756 139 558,https://ideastest.org.uk/projects/current-projects/disquiet/,11-18 year olds ,Wellbeing,Secondary School Age and post 16,N,No referral required,commissioned,y-Diane
Kent Autistic Trust: Family Support Information Service,Kent Autistic Trust,Family Support Information Service,advice & signposting,"Family Support Information Service is a free service, providing information, advice, support and training to individuals, familiescarers and professionals affected by Autism Spectrum Disorder across Kent and Medway.",For children email wendy@kentautistic.com or call 01634 405168,https://www.katfamilysupport.co.uk/?fbclid=IwAR1WejUl5X4su73PnpnEqcFvjlKZ5I-yCE1Sim5BaRfdFE7bsH0H5PLvNo4,All,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,Self Referral,approved by Working group,y-Diane
Kent County Council: mood spark,Kent County Council,mood spark,Advice & Signposting,"Includes useful resources for YP aged 10-16, including how to look after their emotional and mental health and find ways to bounce back when life gets tough",,https://moodspark.org.uk/,Aged 10-16,Anxiety/Depression/Low mood; Bullying; Wellbeing,Primary school age and Secondary School age ,N,No referral required,Partner agency,y-Diane
KMMHT: Early Intervention for Psychosis (West Kent and Medway),KMMHT,Early Intervention for Psychosis (West Kent and Medway),"Getting more help
(specialist)","offers advice, carries out assessments and can offer support for up to three years. Can also advise you about how mental ill health can be identified early and how our service can help. Assessments and interventions are provided by care coordinators who may be mental health nurses, occupational therapists or social workers. The psychology team also provide interventions.",https://www.kmpt.nhs.uk/contact-us/,https://www.kmpt.nhs.uk/our-services/early-intervention-for-psychosis-west-kent-and-medway/,Aged 14+,"Diagnosed mental health e.g. OCD, Psychosis, Personality Disorder; Anxiety/Depression/Low mood",Secondary School Age and post 16,N,Self/Professional referral,Commissioned,y-Diane
LGBTQ+: Barnardo's LGBTQ,LGBTQ+,Barnardo's LGBTQ,advice & signposting,"provides direct support to LGBTQ children and young people around their gender and sexual identities. They work with parents, carers and families and offer training to schools, professionals and community groups.",,https://www.barnardos.org.uk/what-we-do/supporting-young-people/LGBTQ,Age 0-25,LGBTQIA+,All ages,N,No referral required,we've worked with in the past,y-Diane
LGBTQ+: FFLAG,LGBTQ+,FFLAG,Advice & Signposting,"We offer support to local parents groups and contacts in their efforts to help parents and families understand, accept and support their lesbian, gay, bisexual and transgender members with love and pride. We provide a central point for exchange of information between parents groups and local parent contacts. FFLAG supports the full human and civil rights of lesbian, gay, bisexual and transgender individuals. FFLAG speaks out and acts to defend and enhance those human and civil rights. We offer information through our publications which we make available by post and online.",,https://www.fflag.org.uk/,All,LGBTQIA+,All ages,N,No referral required,reccomended by BeYOU,y-Diane
LGBTQ+: Gendered Intelligence,LGBTQ+,Gendered Intelligence,Advice & Signposting,"Gendered Intelligence is a trans led charity who work with the trans community and those who impact on trans lives; they particularly specialise in supporting young trans people aged 8-25. Our work with organisations and professional individuals to improve trans inclusivity in workplaces and services which includes training, consultancy and speakers. We work with all types and sizes of organisation, across all sectors, in the UK and beyond. This service also includes our Therapists and Counsellors Network. Our work in schools, colleges, universities and other educational settings includes training and consultancy for staff; one-to-one mentoring for young trans, non-binary and gender questioning young people; and workshops, lectures and assemblies for students. Our direct provision for trans people, especially young trans and gender questioning people includes taking in our youth work, residentials and trips, mentoring, helpline and activists network, and much more.",,http://genderedintelligence.co.uk/,Age 8-25,LGBTQIA+,"Primary school age, Secondary School age and post 16 ",N,No referral required,reccomended by BeYOU,y-Diane
LGBTQ+: LGBT Foundation,LGBTQ+,LGBT Foundation,Advice & Signposting,"LGBT Foundation provide a wide range of support services to lesbian, gay, bi and trans people. They also work with healthcare and other professionals to help make public services more accessible and inclusive for LGBT communities.",,https://lgbt.foundation/?__cf_chl_jschl_tk__=pmd_ScdOZwgDX0I5bGGywJaS5Zd5Ojeny1kKReOX4M_.kLQ-1630936635-0-gqNtZGzNAdCjcnBszQjR,All,LGBTQIA+,All ages,N,No referral required,reccomended by BeYOU,y-Diane
LGBTQ+: LGBT switchboard,LGBTQ+,LGBT switchboard,Advice & Signposting,"A helpline that provides an information, support and referral service for lesbians, gay men and bisexual and trans people  and anyone considering issues around their sexuality andor gender identity.",call 0300 330 0630,https://switchboard.lgbt/,All,LGBTQIA+,All ages,N,Self Referral,DFE/Recommended by DfE,y-Diane
LGBTQ+: Medway Gender & Sexual Diversity Centre,LGBTQ+,Medway Gender & Sexual Diversity Centre,Advice & Signposting,"Work with partners providing health promotion programs for LGBT people and deliver trans awareness training to organisations i.e. Kent Police, NHS Trusts, Social Care Providers, Counsellors and other health professionals and providers of health and wellbeing services. Services include MGSD centre Trans  Non-binary health care advisory group, MGSD centre Trans  non-binary educational setting group SEGI Partners group, Gay men's group, Bi  Pan group, Lesbian Group, SEGI parent and carers group, SEGI young person Trans  non binary drop in, LGBTQIA Counselling service, Medway Pride, Medway Pride Radio",See contact and services sections of the website ,http://www.mgsd-centre.org/,All,LGBTQIA+,All ages,N,Self Referral,"trusted partner of METRO, provides Medway pride event and chairs SE gender initiative ",y-Diane
LGBTQ+: Mind Out,LGBTQ+,Mind Out,Advice & Signposting,"A mental health service designed to specifically support members of the LGBTQ community. Provides advice and support as well as an online instant messaging service which is confidential, non judgemental and anonymous.",,https://mindout.org.uk/get-support/mindout-online/,All,LGBTQIA+,All ages,N,No referral required,reccomended by BeYOU,y-Diane
LGBTQ+: Stonewall,LGBTQ+,Stonewall,Advice & Signposting,"At Stonewall, we stand for lesbian, gay, bi, trans, queer, questioning and ace (LGBTQ) people everywhere. We imagine a world where all LGBTQ people are free to be themselves and we can live our lives to the full. We are part of a vibrant global movement for change made up of LGBTQ people, our allies, families and friends. Since day one, we've fought for freedom, for equity and for potential. 

Over the last 30 years, we have helped create transformative change in the lives of LGBTQ people in the UK. Today, we have equal rights to love, marry and have children, and our lives, families and relationships are represented as part of the national curriculum in most of the UK.  Our campaigns drive positive change in public attitudes and public policy. We ensure LGBTQ people can thrive throughout our lives by building deep, sustained change programmes with the institutions that have the biggest impact on us, whether were learning, working, praying or playing sport. We make sure that the world hears and learns from LGBTQ communities, and our work is grounded in evidence and expertise. And were committed to empowering people to create change in their own communities.  

We face rising intolerance degrading our hard-won rights. But we won't be silenced. Not until all of us are free to be proud, free to be loved, free to be together, free to be who we are. Our work continues until the world we imagine is the world we live in.

We provide information  advice for individuals, schoolscolleges and workplaces",,https://www.stonewall.org.uk,All,LGBTQIA+,All ages,N,No referral required,Approved by the group,y-Diane
LGBTQ+: The Albert Kennedy trust ,LGBTQ+,The Albert Kennedy trust ,"Getting Help
(goals based)","act supports LGBTQ2 young people aged 16-25 in the uk who are facing or experiencing homelessness or living in a hostile environment. we do this by providing access to advice from one of our housing specialists, connection to a mentor for one-to-one support Access to our emergency support pack or tenancy starter pack, accommodation with a specially trained akt host, a place to stay in our Purple Door accommodation service, a safe place with one of our many housing provider partners, access to life skills training, events and peer support networks.",https://www.akt.org.uk/get-help,https://www.akt.org.uk/,Age 16-25,LGBTQIA+,Post 16,N,No referral required,reccomended by BeYOU,y-Diane
LGBTQ+: The Proud Trust,LGBTQ+,The Proud Trust,advice & signposting,"Helpful information covering a range of different things such as coming out, faith and religion, and staying safe. Youll also find stories and experiences from other LGBT people in the People like me section.",,https://www.theproudtrust.org/young-people/,All,LGBTQIA+,All ages,N,No referral required,DFE/Recommended by DfE,y-Diane
Lucy Faithful Foundation: SHORE,Lucy Faithful Foundation,SHORE,"Getting Help
(goals based)",To provide a safe and anonymous place for young people to get help and advice in order to prevent harmful sexual behaviours.,Self refer through search box on website,https://shorespace.org.uk/,All,Behaviour,Secondary School Age and post 16,N,Self Referral,recommended by Sophie Wheeldon,y-Diane
MCH: And So to Bed,MCH,And So to Bed,Advice & Signposting,It looks at how we can help to ensure that our children develop healthy sleep habits and avoidovercome any common difficulties.,No referral needed,https://www.youtube.com/watch?v=mfllGqulwrI,Parents (10 months old+),Health; Behaviour; Special Educational Needs and Disability/ Autism/ADHD; Anxiety/Depression/Low mood,Under 5's,N,No referral required,Recorded by MCH,y-Diane
